Date, Bed Time, Sleep Onset Time, Ring Time, Wake Time, Time In Bed, Total Sleep Time, Total Awake Time, Sleep Onset Latency, Halfway Awakening, Snooze, Sleep Efficiency
8/1/2014, 2:49 AM, 2:56 AM, 8:07 AM, 8:48 AM, 5h 59m 37s, 5h 37m 37s, 22m 00s, 6m 49s,1,4,93.90%
8/2/2014, 1:30 AM, 2:13 AM, 5:27 AM, 5:38 AM, 4h 07m 10s, 3h 10m 10s, 57m 00s, 42m 02s,2,1,76.90%
8/3/2014, 12:53 AM, 1:10 AM, 6:27 AM, 7:32 AM, 6h 39m 11s, 5h 12m 11s, 1h 27m 00s, 16m 44s,5,5,78.20%
8/4/2014, 2:09 AM, 2:25 AM, 7:30 AM, 8:22 AM, 6h 12m 54s, 5h 19m 54s, 53m 00s, 16m 19s,1,4,85.80%
8/5/2014, 1:43 AM, 1:56 AM, 7:31 AM, 8:23 AM, 6h 40m 38s, 5h 55m 38s, 45m 00s, 12m 51s,2,5,88.80%
8/6/2014, 1:45 AM, 1:51 AM, 7:33 AM, 8:27 AM, 6h 42m 08s, 6h 25m 08s, 17m 00s, 5m 16s,2,5,95.80%
8/7/2014, 12:46 AM, 12:55 AM, 7:36 AM, 8:46 AM, 8h 00m 07s, 7h 14m 07s, 46m 00s, 8m 43s,3,4,90.40%
8/8/2014, 1:12 AM, 1:29 AM, 8:15 AM, 8:35 AM, 7h 23m 12s, 6h 42m 12s, 41m 00s, 16m 22s,4,2,90.70%
8/10/2014, 1:18 AM, 1:51 AM, 7:07 AM, 8:01 AM, 6h 43m 02s, 5h 26m 02s, 1h 17m 00s, 32m 52s,2,4,80.90%
8/11/2014, 12:45 AM, 1:51 AM, 6:30 AM, 8:23 AM, 7h 37m 58s, 5h 29m 58s, 2h 08m 00s, 1h 05m 50s,1,8,72.10%
8/12/2014, 12:34 AM, 12:40 AM, 7:04 AM, 8:01 AM, 7h 27m 03s, 6h 51m 03s, 36m 00s, 5m 24s,2,5,91.90%
8/13/2014, 1:10 AM, 1:51 AM, 6:37 AM, 7:21 AM, 6h 10m 47s, 5h 14m 47s, 56m 00s, 40m 25s,1,3,84.90%
8/14/2014, 12:58 AM, 1:24 AM, 6:35 AM, 8:28 AM, 7h 29m 42s, 6h 07m 42s, 1h 22m 00s, 25m 31s,8,8,81.80%
8/15/2014, 1:50 AM, 2:16 AM, 6:37 AM, 7:00 AM, 5h 09m 50s, 4h 23m 50s, 46m 00s, 25m 03s,0,2,85.20%
8/17/2014, 3:18 AM, 3:32 AM, 9:30 AM, 9:30 AM, 6h 12m 01s, 5h 47m 01s, 25m 00s, 13m 35s,2,0,93.30%
8/19/2014, 2:07 AM, 3:29 AM, 7:32 AM, 8:15 AM, 6h 08m 28s, 4h 15m 28s, 1h 53m 00s, 1h 21m 54s,4,4,69.30%
8/20/2014, 2:17 AM, 2:30 AM, 8:04 AM, 8:25 AM, 6h 07m 54s, 5h 35m 54s, 32m 00s, 12m 49s,1,2,91.30%
8/21/2014, 1:08 AM, 1:16 AM, 8:03 AM, 8:33 AM, 7h 24m 52s, 6h 47m 52s, 37m 00s, 7m 01s,2,3,91.70%
8/22/2014, 1:57 AM, 3:19 AM, 7:30 AM, 8:04 AM, 6h 07m 03s, 4h 23m 03s, 1h 44m 00s, 1h 21m 32s,0,3,71.70%
8/23/2014, 12:51 AM, 1:19 AM, 7:49 AM, 8:03 AM, 7h 11m 46s, 6h 03m 46s, 1h 08m 00s, 27m 24s,5,1,84.30%
